Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Teste de Integração,Chrome 119.0.0.0,,,2023-11-29 11:59:18,2023-11-29 12:05:55,"6m - 36,220s",ERROR
,,,,,,,
Test Cases/CDT01- RF01 - login cliente - Verificar login incorreto e correto,Chrome 119.0.0.0,,,2023-11-29 11:59:19,2023-11-29 11:59:39,"19,458s",PASSED
"openBrowser(""http://localhost/pizzaWeb2.0/site/index.php"", CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 11:59:20,2023-11-29 11:59:29,"9,136s",PASSED
"click(findTestObject(""Object Repository/CDT01 - CDT02/Page_PizzaWeb/a_Entrar""), CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 11:59:29,2023-11-29 11:59:30,"1,122s",PASSED
"callTestCase(findTestCase(""CDT02 - login simple""), [""usuario"":""marco"", ""senha"":""senhaInvalida""], CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 11:59:30,2023-11-29 11:59:33,"3,211s",PASSED
"verifyElementText(findTestObject(""CDT01 - CDT02/Page_/div_msg_Usurio_ou_senha_invalidos""), ""Usuário ou senha inválidos."", CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 11:59:33,2023-11-29 11:59:34,"0,584s",PASSED
"click(findTestObject(""Object Repository/CDT01 - CDT02/Page_/button_OK""), CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 11:59:34,2023-11-29 11:59:35,"0,643s",PASSED
"callTestCase(findTestCase(""CDT02 - login simple""), [""usuario"":""marco"", ""senha"":""marco""], CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 11:59:35,2023-11-29 11:59:37,"2,596s",PASSED
"verifyElementText(findTestObject(""Object Repository/CDT01 - CDT02/Page_PizzaWeb/a_Ol, Usuario""), ""Olá, Marco!"", CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 11:59:37,2023-11-29 11:59:38,"0,561s",PASSED
closeBrowser(CONTINUE_ON_FAILURE),Chrome 119.0.0.0,,,2023-11-29 11:59:38,2023-11-29 11:59:39,"0,825s",PASSED
,,,,,,,
Test Cases/CDT02 - login simple,Chrome 119.0.0.0,,,2023-11-29 11:59:39,2023-11-29 11:59:39,"0,570s",FAILED
"setText(findTestObject(""Object Repository/CDT01 - CDT02/Page_Login/input_Entrar_login""), usuario, CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 11:59:39,2023-11-29 11:59:39,"0,122s",FAILED
"setText(findTestObject(""Object Repository/CDT01 - CDT02/Page_Login/input_Entrar_senha""), senha, CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 11:59:39,2023-11-29 11:59:39,"0,101s",FAILED
