Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Teste de Integração,Chrome 119.0.0.0,,,2023-11-29 12:47:44,2023-11-29 12:53:46,"6m - 1,942s",FAILED
,,,,,,,
Test Cases/CDT01- RF01 - login cliente - Verificar login incorreto e correto,Chrome 119.0.0.0,,,2023-11-29 12:47:44,2023-11-29 12:48:01,"16,417s",PASSED
"openBrowser(""http://localhost/pizzaWeb2.0/site/index.php"", CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:47:45,2023-11-29 12:47:51,"6,307s",PASSED
"click(findTestObject(""Object Repository/CDT01 - CDT02/Page_PizzaWeb/a_Entrar""), CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:47:51,2023-11-29 12:47:52,"0,892s",PASSED
"callTestCase(findTestCase(""CDT02 - login simple""), [""usuario"":""marco"", ""senha"":""senhaInvalida""], CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:47:52,2023-11-29 12:47:56,"3,462s",PASSED
"verifyElementText(findTestObject(""CDT01 - CDT02/Page_/div_msg_Usurio_ou_senha_invalidos""), ""Usuário ou senha inválidos."", CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:47:56,2023-11-29 12:47:56,"0,501s",PASSED
"click(findTestObject(""Object Repository/CDT01 - CDT02/Page_/button_OK""), CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:47:56,2023-11-29 12:47:57,"0,593s",PASSED
"callTestCase(findTestCase(""CDT02 - login simple""), [""usuario"":""marco"", ""senha"":""marco""], CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:47:57,2023-11-29 12:47:59,"2,635s",PASSED
"verifyElementText(findTestObject(""Object Repository/CDT01 - CDT02/Page_PizzaWeb/a_Ol, Usuario""), ""Olá, Marco!"", CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:47:59,2023-11-29 12:48:00,"0,491s",PASSED
closeBrowser(CONTINUE_ON_FAILURE),Chrome 119.0.0.0,,,2023-11-29 12:48:00,2023-11-29 12:48:01,"0,851s",PASSED
,,,,,,,
Test Cases/CDT02 - login simple,Chrome 119.0.0.0,,,2023-11-29 12:48:01,2023-11-29 12:48:01,"0,542s",FAILED
"setText(findTestObject(""Object Repository/CDT01 - CDT02/Page_Login/input_Entrar_login""), usuario, CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:48:01,2023-11-29 12:48:01,"0,105s",FAILED
"setText(findTestObject(""Object Repository/CDT01 - CDT02/Page_Login/input_Entrar_senha""), senha, CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:48:01,2023-11-29 12:48:01,"0,110s",FAILED
"click(findTestObject(""Object Repository/CDT01 - CDT02/Page_Login/button_Login""), CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:48:01,2023-11-29 12:48:01,"0,092s",FAILED
,,,,,,,
Test Cases/CDT03 - cadastro simples,Chrome 119.0.0.0,,,2023-11-29 12:48:01,2023-11-29 12:48:04,"2,666s",FAILED
"setText(findTestObject(""Object Repository/CDT03 - CDT04 - CDT05/Page_/input_Nome_nomeCadastro""), nome, CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:48:02,2023-11-29 12:48:02,"0,157s",FAILED
"setText(findTestObject(""Object Repository/CDT03 - CDT04 - CDT05/Page_/input_E-mail_emailCadastro""), email, CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:48:02,2023-11-29 12:48:02,"0,136s",FAILED
"setText(findTestObject(""Object Repository/CDT03 - CDT04 - CDT05/Page_/input_DDD_dddTelCadastro""), ddd, CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:48:02,2023-11-29 12:48:02,"0,188s",FAILED
"setText(findTestObject(""Object Repository/CDT03 - CDT04 - CDT05/Page_/input_Telefone_telCadastro""), telefone, CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:48:02,2023-11-29 12:48:03,"0,144s",FAILED
"setText(findTestObject(""Object Repository/CDT03 - CDT04 - CDT05/Page_/input_Usurio_loginCadastro""), usuario, CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:48:03,2023-11-29 12:48:03,"0,170s",FAILED
"setText(findTestObject(""Object Repository/CDT03 - CDT04 - CDT05/Page_/input_Senha_senhaCadastro""), senha, CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:48:03,2023-11-29 12:48:03,"0,137s",FAILED
"setText(findTestObject(""Object Repository/CDT03 - CDT04 - CDT05/Page_/input_Repetir a senha_form-control""), repetir_senha, CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:48:03,2023-11-29 12:48:03,"0,083s",FAILED
"setText(findTestObject(""Object Repository/CDT03 - CDT04 - CDT05/Page_/input_RuaAv_ruaCadastro""), rua, CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:48:03,2023-11-29 12:48:03,"0,128s",FAILED
"setText(findTestObject(""Object Repository/CDT03 - CDT04 - CDT05/Page_/input_Nmero_numeroCadastro""), numero, CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:48:03,2023-11-29 12:48:03,"0,114s",FAILED
"setText(findTestObject(""Object Repository/CDT03 - CDT04 - CDT05/Page_/input_Bairro_bairroCadastro""), bairro, CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:48:03,2023-11-29 12:48:03,"0,106s",FAILED
"setText(findTestObject(""Object Repository/CDT03 - CDT04 - CDT05/Page_/input_Complemento_complementoCadastro""), complemento, CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:48:03,2023-11-29 12:48:03,"0,102s",FAILED
"setText(findTestObject(""Object Repository/CDT03 - CDT04 - CDT05/Page_/input_Cidade_cidadeCadastro""), cidade, CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:48:03,2023-11-29 12:48:04,"0,148s",FAILED
"selectOptionByValue(findTestObject(""Object Repository/CDT03 - CDT04 - CDT05/Page_/select_ALAPAMBACEDFESGOMAMTMSMGPAPBPRPEPIRR_4d941d""), uf, true, CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:48:04,2023-11-29 12:48:04,"0,281s",FAILED
,,,,,,,
Test Cases/CDT04 - RF01 - cadastro cliente - Verificar erros de preenchimento,Chrome 119.0.0.0,,,2023-11-29 12:48:04,2023-11-29 12:48:52,"47,995s",FAILED
"openBrowser("""", CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:48:05,2023-11-29 12:48:06,"1,703s",PASSED
"navigateToUrl(""http://localhost/pizzaWeb2.0/site/index.php"", CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:48:06,2023-11-29 12:48:08,"1,863s",PASSED
"click(findTestObject(""Object Repository/CDT03 - CDT04 - CDT05/Page_PizzaWeb/a_Cadastre-se""), CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:48:08,2023-11-29 12:48:09,"1,047s",PASSED
"callTestCase(findTestCase(""CDT03 - cadastro simples""), [""nome"":""teste"", ""email"":"""", ""ddd"":""11"", ""telefone"":""222222222"", ""usuario"":"""", ""senha"":""teste"", ""repetir_senha"":""teste"", ""rua"":""rua "", ... ], CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:48:09,2023-11-29 12:48:22,"12,651s",PASSED
"click(findTestObject(""Object Repository/CDT03 - CDT04 - CDT05/Page_/button_Cadastrar""), CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:48:22,2023-11-29 12:48:22,"0,537s",PASSED
"verifyTextPresent(""Cadastro"", false, CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 12:48:22,2023-11-29 12:48:23,"0,372s",PASSED
